"food_code","name","category","base_amount","base_unit","kcal","carbs","protein","fat","sugar","dietary_fiber","vit_a","vit_c","vit_d","calcium","iron","sodium","image"
"D401-017260000-0001","볶음밥_새우","밥류","200","G","210","30.88","9.72","4.5","1.9","1.4","50.0","2.56","0.24","26.0","1.5","286.0","food-category/rice.jpg"
"D401-017280000-0001","볶음밥_소고기","밥류","200","G","228","36.76","5.0","5.94","1.24","1.8","36.0","3.06","0.0","10.0","0.54","204.0","food-category/rice.jpg"
"D320-748120000-0001","커피_카페모카","음료 및 차류","200","ML","144","20.92","5.52","4.16","19.44","1.2","0.0","0.46","0.0","182.0","0.14","58.0","food-category/beverage.jpg"
"D320-748130000-0001","커피_카푸치노","음료 및 차류","200","ML","108","6.46","5.34","6.76","6.26","0.6","0.0","0.36","0.0","156.0","0.02","66.0","food-category/beverage.jpg"
"D324-128012800-0001","고구마_밤고구마_삶은것","곡류, 서류 제품","200","G","264","60.34","4.9","0.24","36.86","7.4","0.0","10.32","0.0","116.0","1.4","158.0","food-category/grain.jpg"
"D324-756000000-0001","팝콘","곡류, 서류 제품","200","G","1022","116.12","16.6","54.68","0.76","20.8","0.0","1.3","0.0","10.0","4.52","1000.0","food-category/grain.jpg"
"D324-756020000-0001","팝콘_카라멜","곡류, 서류 제품","200","G","958","139.58","11.84","39.12","54.84","13.6","0.0","0.72","0.0","96.0","2.14","210.0","food-category/grain.jpg"
"D327-758010000-0001","달걀_삶은것","수·조·어·육류","200","G","300","1.26","25.6","21.3","1.24","0.0","0.0","0.42","2.16","116.0","4.0","254.0","food-category/fish_meat.jpg"
"D327-758011000-0001","달걀_삶은것_노른자","수·조·어·육류","200","G","716","2.34","31.32","64.62","0.46","0.0","0.0","0.32","1.18","258.0","13.44","92.0","food-category/fish_meat.jpg"
"D327-758015600-0001","달걀_삶은것_흰자","수·조·어·육류","200","G","96","0.02","22.84","0.58","0.64","0.0","0.0","0.4","0.0","20.0","0.74","372.0","food-category/fish_meat.jpg"
"D327-759000000-0001","대구포","수·조·어·육류","200","G","282","4.66","63.94","0.8","0.0","2.4","0.0","0.0","0.0","310.0","0.0","7752.0","food-category/fish_meat.jpg"
"D401-001000000-0001","계란 덮밥","밥류","200","G","338","54.44","10.0","7.38","1.62","1.6","52.0","0.54","0.42","26.0","0.98","210.0","food-category/rice.jpg"
"D401-003000000-0001","곤드레밥","밥류","200","G","248","53.6","4.4","1.88","0.3","8.8","4.0","0.38","0.0","14.0","0.52","18.0","food-category/rice.jpg"
"D401-006000000-0001","기장밥","밥류","200","G","258","55.14","5.0","0.78","0.34","1.6","0.0","0.0","0.0","6.0","0.32","2.0","food-category/rice.jpg"
"D401-007030000-0001","김밥_계란","밥류","200","G","194","28.44","8.6","4.68","1.02","2.0","88.0","6.56","0.34","34.0","0.96","298.0","food-category/rice.jpg"
"D401-007070000-0001","김밥_김치","밥류","200","G","218","38.58","7.2","3.38","1.82","3.4","74.0","7.68","0.14","44.0","0.76","468.0","food-category/rice.jpg"
"D401-007090000-0001","김밥_날치알","밥류","200","G","208","34.56","8.4","3.8","1.02","2.4","76.0","7.82","1.78","32.0","0.78","506.0","food-category/rice.jpg"
"D401-007120000-0001","김밥_돈가스","밥류","200","G","296","38.8","8.8","11.26","2.06","2.8","60.0","6.74","0.16","34.0","0.88","450.0","food-category/rice.jpg"
"D401-007190400-0001","김밥_멸치_고추","밥류","200","G","244","41.0","11.2","3.58","1.86","3.4","98.0","13.4","1.54","96.0","0.8","560.0","food-category/rice.jpg"
"D401-007270000-0001","김밥_샐러드","밥류","200","G","234","36.28","6.8","6.6","2.14","3.0","76.0","9.98","0.12","40.0","0.7","316.0","food-category/rice.jpg"
"D401-007280000-0001","김밥_소고기","밥류","200","G","216","33.76","8.0","4.94","1.46","2.2","60.0","5.86","0.12","28.0","0.84","334.0","food-category/rice.jpg"
"D320-716042200-0001","과ㆍ채주스_딸기_바나나","음료 및 차류","200","ML","108","22.12","2.74","1.04","21.86","0.4","0.0","0.6","0.0","80.0","0.34","28.0","food-category/beverage.jpg"
"D320-716071300-0001","과ㆍ채주스_사과_당근","음료 및 차류","200","ML","76","18.28","0.46","0.06","18.06","1.6","0.0","0.76","0.0","16.0","0.16","30.0","food-category/beverage.jpg"
"D320-716174100-0001","과ㆍ채주스_해독주스_착즙형","음료 및 차류","200","ML","88","21.02","0.94","0.08","18.2","0.6","0.0","0.4","0.0","24.0","0.12","22.0","food-category/beverage.jpg"
"D320-716180000-0001","과ㆍ채주스_혼합과일 주스","음료 및 차류","200","ML","118","26.38","1.54","0.74","25.72","1.4","0.0","1.04","0.0","40.0","0.06","30.0","food-category/beverage.jpg"
"D320-723010000-0001","라떼_그린티","음료 및 차류","200","ML","152","20.66","5.94","5.12","18.82","1.2","0.0","1.3","0.0","158.0","1.68","58.0","food-category/beverage.jpg"
"D320-723050000-0001","라떼_바닐라","음료 및 차류","200","ML","144","16.76","5.16","6.34","14.64","0.0","0.0","4.56","0.0","180.0","0.12","68.0","food-category/beverage.jpg"
"D320-725000000-0001","레몬청차","음료 및 차류","200","ML","120","29.6","0.26","0.02","32.66","1.8","0.0","10.34","0.0","26.0","0.0","6.0","food-category/beverage.jpg"
"D320-731060000-0001","밀크티_블랙","음료 및 차류","200","ML","98","10.6","2.0","5.28","9.16","0.8","0.0","1.1","0.0","64.0","0.0","30.0","food-category/beverage.jpg"
"D320-731090000-0001","밀크티_초콜릿","음료 및 차류","200","ML","152","19.22","2.46","7.36","7.3","2.6","0.0","0.86","0.0","22.0","3.46","24.0","food-category/beverage.jpg"
"D320-731160000-0001","밀크티_타로","음료 및 차류","200","ML","204","23.9","0.74","11.66","14.64","0.0","0.0","1.72","0.0","60.0","0.0","36.0","food-category/beverage.jpg"
"D320-731190000-0001","밀크티_흑당","음료 및 차류","200","ML","188","30.74","4.76","5.1","25.52","2.8","0.0","1.1","0.0","186.0","0.38","110.0","food-category/beverage.jpg"
"D320-738000000-0001","식혜","음료 및 차류","200","ML","174","32.42","3.06","3.5","22.72","0.6","0.0","0.4","0.0","12.0","0.0","4.0","food-category/beverage.jpg"
"D320-741142904-0001","액상커피_커피가루_설탕_크림(중량12g)","음료 및 차류","200","ML","102","20.12","0.86","2.06","11.88","0.2","0.0","0.0","0.0","28.0","0.1","10.0","food-category/beverage.jpg"
"D320-741143000-0001","액상커피_커피가루_설탕(중량2.7g)","음료 및 차류","200","ML","34","7.96","0.36","0.0","3.36","0.0","0.0","0.0","0.0","4.0","0.04","0.0","food-category/beverage.jpg"
"D320-741150000-0001","액상커피_커피가루(중량1g)","음료 및 차류","200","ML","8","1.4","0.4","0.02","0.0","0.0","0.0","0.0","0.0","4.0","0.04","0.0","food-category/beverage.jpg"
"D320-748020000-0001","커피_달고나커피","음료 및 차류","200","ML","222","28.16","4.94","9.94","22.92","0.2","0.0","0.44","0.0","182.0","0.0","98.0","food-category/beverage.jpg"
"D320-748080000-0001","커피_아메리카노","음료 및 차류","200","ML","8","1.32","0.46","0.06","0.0","0.0","0.0","0.0","0.0","10.0","0.08","4.0","food-category/beverage.jpg"
"D320-748100000-0001","커피_카라멜마끼아토","음료 및 차류","200","ML","162","18.1","4.88","7.88","16.94","0.2","0.0","5.38","0.0","204.0","0.04","58.0","food-category/beverage.jpg"
"D320-748110000-0001","커피_카페라떼","음료 및 차류","200","ML","114","6.22","5.44","7.44","6.22","0.2","0.0","0.58","0.0","182.0","0.0","60.0","food-category/beverage.jpg"
"D316-686020000-0001","게장_양념","젓갈류","200","G","222","16.14","24.48","6.6","9.86","3.6","0.0","1.7","0.0","360.0","1.74","1214.0","food-category/jeotgal.jpg"
"D316-688020000-0001","명란젓_양념","젓갈류","200","G","294","7.96","35.92","13.08","0.0","2.2","0.0","169.02","0.0","166.0","1.64","4088.0","food-category/jeotgal.jpg"
"D316-691020000-0001","조개젓_양념","젓갈류","200","G","206","25.22","17.22","4.1","12.92","4.8","0.0","17.34","0.0","290.0","19.86","6080.0","food-category/jeotgal.jpg"
"D317-692000000-0001","고추장아찌","장아찌·절임류","200","G","248","62.98","4.78","1.26","22.76","9.6","48.0","23.6","0.0","32.0","2.2","4052.0","food-category/pickled.jpg"
"D317-698000000-0001","마늘쫑장아찌","장아찌·절임류","200","G","236","54.68","3.92","0.28","26.04","10.4","22.0","0.0","0.0","42.0","1.22","2820.0","food-category/pickled.jpg"
